#ID  stellarM_bestfit  stellarM_median  stellarM_CL68min  stellarM_CL68max  EWhb_bestfit  EWhb_median  EWhb_CL68min  EWhb_CL68max  EWoiii4959_bestfit  EWoiii4959_median  EWoiii4959_CL68min  EWoiii4959_CL68max  EWoiii5007_bestfit  EWoiii5007_median  EWoiii5007_CL68min  EWoiii5007_CL68max
 3.0387e+05  1.171e+10  4.332e+09  7.058e+08  1.169e+10  6.588e+01  1.242e+02  6.370e+01  3.436e+02  1.417e+02  2.674e+02  1.253e+02  7.695e+02  4.429e+02  8.314e+02  3.907e+02  2.361e+03
 3.0388e+05  2.749e+07  5.236e+07  2.397e+07  1.620e+08  5.536e+02  2.782e+02  1.389e+02  5.284e+02  1.587e+01  4.448e+01  6.387e+00  2.280e+02  4.860e+01  1.373e+02  1.973e+01  7.039e+02
 3.0388e+05  2.318e+08  5.368e+08  2.516e+08  2.026e+09  5.868e+02  2.480e+02  1.002e+02  4.951e+02  1.744e+02  2.324e+01  3.959e+00  1.054e+02  5.260e+02  7.214e+01  1.226e+01  3.242e+02
 3.0388e+05  1.058e+08  1.620e+08  7.705e+07  3.368e+08  1.899e+02  2.007e+02  1.333e+02  3.087e+02  3.766e+02  2.984e+02  1.816e+02  4.226e+02  1.167e+03  9.220e+02  5.613e+02  1.304e+03
 3.0388e+05  1.944e+07  2.653e+07  1.905e+07  5.863e+07  3.694e+02  3.507e+02  2.225e+02  5.746e+02  6.420e+00  1.458e+01  6.364e+00  8.780e+01  1.977e+01  4.460e+01  1.958e+01  2.691e+02
 3.0389e+05  3.121e+09  2.509e+09  1.723e+09  3.138e+09  6.114e+01  9.284e+01  6.425e+01  1.361e+02  1.282e+00  2.849e+00  1.457e+00  1.811e+01  4.002e+00  8.852e+00  4.526e+00  5.643e+01
 3.0389e+05  2.349e+07  5.124e+07  2.874e+07  1.785e+08  5.454e+02  2.764e+02  1.389e+02  4.742e+02  1.208e+03  4.614e+02  1.787e+02  8.454e+02  3.655e+03  1.424e+03  5.538e+02  2.596e+03
 3.0389e+05  5.427e+07  7.142e+07  3.046e+07  1.729e+08  1.949e+02  2.180e+02  1.333e+02  3.493e+02  2.736e+02  1.553e+02  6.466e+00  3.616e+02  8.505e+02  4.815e+02  1.994e+01  1.116e+03
 3.0389e+05  3.600e+07  4.280e+07  2.203e+07  1.221e+08  2.708e+02  2.708e+02  1.517e+02  4.994e+02  7.497e+01  5.202e+01  6.393e+00  2.351e+02  2.316e+02  1.603e+02  1.974e+01  7.261e+02
 3.0389e+05  8.914e+08  9.217e+08  6.108e+08  1.705e+09  1.382e+02  1.388e+02  1.015e+02  2.133e+02  3.775e+02  3.741e+02  2.765e+02  4.934e+02  1.178e+03  1.161e+03  8.596e+02  1.525e+03
 3.0390e+05  1.415e+07  3.110e+07  1.747e+07  8.598e+07  5.716e+02  2.793e+02  1.641e+02  5.176e+02  6.799e+01  5.372e+01  6.697e+00  2.321e+02  2.079e+02  1.660e+02  2.067e+01  7.169e+02
 3.0390e+05  9.127e+08  3.754e+08  1.163e+08  8.241e+08  9.718e+01  1.618e+02  8.991e+01  3.357e+02  8.561e-01  2.966e+01  3.457e+00  1.554e+02  2.633e+00  9.201e+01  1.072e+01  4.812e+02
