#ID  stellarM_bestfit  stellarM_median  stellarM_CL68min  stellarM_CL68max  EWhb_bestfit  EWhb_median  EWhb_CL68min  EWhb_CL68max  EWoiii4959_bestfit  EWoiii4959_median  EWoiii4959_CL68min  EWoiii4959_CL68max  EWoiii5007_bestfit  EWoiii5007_median  EWoiii5007_CL68min  EWoiii5007_CL68max
 3.0384e+05  9.224e+08  5.042e+08  1.216e+08  1.127e+09  3.938e+01  1.456e+02  7.998e+01  3.255e+02  9.571e+01  1.427e+02  2.124e+01  3.324e+02  2.981e+02  4.429e+02  6.582e+01  1.024e+03
 3.0385e+05  3.519e+07  7.953e+07  4.165e+07  2.857e+08  4.666e+02  3.006e+02  1.697e+02  5.510e+02  1.055e+01  1.497e+01  5.379e+00  9.212e+01  3.233e+01  4.576e+01  1.667e+01  2.827e+02
 3.0385e+05  6.137e+07  1.058e+08  3.886e+07  3.792e+08  2.064e+02  2.091e+02  1.094e+02  3.980e+02  3.920e+02  1.723e+02  1.182e+01  4.334e+02  1.213e+03  5.341e+02  3.634e+01  1.335e+03
 3.0385e+05  2.115e+08  3.234e+08  1.398e+08  1.173e+09  6.488e+02  2.972e+02  1.331e+02  5.511e+02  1.201e+01  1.717e+01  4.906e+00  9.318e+01  3.667e+01  5.296e+01  1.514e+01  2.862e+02
 3.0385e+05  2.744e+07  5.973e+07  2.858e+07  1.555e+08  4.650e+02  2.328e+02  1.395e+02  4.205e+02  4.521e+00  8.012e+01  5.871e+00  2.890e+02  1.382e+01  2.461e+02  1.806e+01  8.926e+02
 3.0386e+05  4.756e+07  7.853e+07  4.974e+07  2.466e+08  4.705e+02  3.219e+02  1.881e+02  5.519e+02  1.145e+01  1.255e+01  5.560e+00  7.306e+01  3.500e+01  3.847e+01  1.718e+01  2.250e+02
 3.0386e+05  3.926e+08  1.042e+09  3.138e+08  3.049e+09  6.390e+02  2.165e+02  8.546e+01  5.175e+02  3.267e+02  2.366e+02  1.319e+02  4.129e+02  9.953e+02  7.268e+02  4.094e+02  1.267e+03
 3.0386e+05  8.180e+07  9.751e+07  3.913e+07  3.622e+08  1.111e+02  2.110e+02  1.098e+02  4.089e+02  2.933e+02  1.970e+02  1.711e+01  4.605e+02  9.065e+02  6.111e+02  5.279e+01  1.418e+03
 3.0386e+05  8.012e+08  2.779e+08  6.500e+07  7.465e+08  7.816e+01  1.751e+02  9.006e+01  3.833e+02  7.951e+01  9.554e+01  7.682e+00  3.016e+02  2.483e+02  2.961e+02  2.365e+01  9.310e+02
 3.0386e+05  1.529e+08  1.997e+08  7.559e+07  5.785e+08  1.949e+02  2.288e+02  1.329e+02  4.073e+02  2.736e+02  9.402e+01  6.569e+00  3.164e+02  8.505e+02  2.892e+02  2.024e+01  9.749e+02
 3.0387e+05  5.973e+07  2.392e+08  6.609e+07  9.303e+08  2.905e+02  1.805e+02  9.302e+01  3.497e+02  6.041e+02  1.785e+02  1.865e+01  4.786e+02  1.868e+03  5.531e+02  5.763e+01  1.475e+03
 3.0387e+05  5.073e+08  2.953e+08  8.547e+07  8.806e+08  2.047e+02  2.044e+02  9.426e+01  4.732e+02  3.769e+00  6.598e+01  6.208e+00  2.367e+02  1.168e+01  2.042e+02  1.913e+01  7.318e+02
 3.0387e+05  1.989e+09  7.047e+08  1.214e+08  1.768e+09  8.719e+01  1.403e+02  7.624e+01  3.596e+02  1.623e+02  2.107e+02  8.978e+01  5.501e+02  5.049e+02  6.546e+02  2.780e+02  1.688e+03
 3.0387e+05  9.929e+09  3.711e+09  5.473e+08  1.033e+10  7.415e+01  1.415e+02  7.901e+01  4.614e+02  1.784e+02  3.264e+02  1.531e+02  9.287e+02  5.547e+02  1.013e+03  4.779e+02  2.858e+03
 3.0388e+05  1.694e+07  5.124e+07  1.983e+07  1.621e+08  5.005e+02  2.640e+02  1.370e+02  4.936e+02  8.366e+00  3.436e+01  5.465e+00  1.886e+02  2.565e+01  1.062e+02  1.686e+01  5.817e+02
 3.0388e+05  1.840e+08  4.045e+08  1.906e+08  1.804e+09  5.391e+02  3.003e+02  1.241e+02  5.505e+02  1.472e+02  2.993e+01  5.143e+00  1.149e+02  4.503e+02  9.285e+01  1.591e+01  3.531e+02
 3.0388e+05  1.037e+08  1.290e+08  6.695e+07  3.002e+08  1.867e+02  2.066e+02  1.339e+02  3.299e+02  3.841e+02  3.370e+02  2.154e+02  4.766e+02  1.191e+03  1.038e+03  6.639e+02  1.462e+03
 3.0388e+05  2.647e+07  3.504e+07  1.848e+07  6.476e+07  2.862e+02  2.806e+02  1.876e+02  4.691e+02  5.025e+00  9.077e+00  4.871e+00  6.066e+01  1.549e+01  2.783e+01  1.509e+01  1.870e+02
 3.0389e+05  1.492e+08  3.054e+08  1.619e+08  1.445e+09  5.271e+02  3.583e+02  1.457e+02  6.018e+02  1.375e+02  3.527e+01  6.696e+00  1.334e+02  4.236e+02  1.095e+02  2.074e+01  4.065e+02
 3.0389e+05  2.390e+07  4.636e+07  2.604e+07  1.935e+08  3.907e+02  2.539e+02  1.282e+02  4.387e+02  1.099e+03  4.809e+02  2.097e+02  8.673e+02  3.463e+03  1.481e+03  6.496e+02  2.671e+03
 3.0389e+05  5.594e+07  7.117e+07  3.071e+07  1.689e+08  1.949e+02  2.219e+02  1.339e+02  3.559e+02  2.736e+02  1.630e+02  6.803e+00  3.763e+02  8.505e+02  5.051e+02  2.094e+01  1.160e+03
 3.0389e+05  3.861e+07  5.069e+07  2.049e+07  1.389e+08  2.304e+02  2.328e+02  1.389e+02  4.051e+02  4.211e+00  5.921e+01  5.708e+00  2.784e+02  1.301e+01  1.825e+02  1.764e+01  8.596e+02
 3.0389e+05  7.083e+08  8.421e+08  4.272e+08  1.765e+09  1.602e+02  1.632e+02  1.197e+02  3.247e+02  4.281e+02  4.164e+02  3.130e+02  5.791e+02  1.341e+03  1.293e+03  9.685e+02  1.777e+03
 3.0389e+05  1.014e+08  9.862e+08  1.105e+08  1.943e+09  5.321e+02  1.196e+02  6.801e+01  3.612e+02  6.179e+02  2.010e+02  1.032e+02  5.494e+02  1.850e+03  6.249e+02  3.213e+02  1.684e+03
 3.0390e+05  1.460e+07  3.889e+07  1.623e+07  1.106e+08  4.650e+02  2.296e+02  1.326e+02  4.235e+02  4.521e+00  9.234e+01  6.149e+00  3.180e+02  1.382e+01  2.842e+02  1.892e+01  9.805e+02
 3.0390e+05  4.310e+07  1.756e+08  5.745e+07  5.571e+08  6.193e+02  2.428e+02  1.130e+02  5.062e+02  1.887e+02  3.019e+01  5.044e+00  1.340e+02  5.767e+02  9.364e+01  1.552e+01  4.129e+02
 3.0391e+05  2.830e+09  1.936e+09  4.766e+08  2.961e+09  9.083e+01  9.432e+01  5.991e+01  1.856e+02  2.113e+01  1.032e+02  1.763e+01  2.172e+02  6.593e+01  3.215e+02  5.485e+01  6.737e+02
 3.0391e+05  2.880e+07  1.074e+08  3.482e+07  4.391e+08  2.626e+02  2.028e+02  9.728e+01  4.118e+02  5.946e+02  2.015e+02  2.324e+01  5.268e+02  1.831e+03  6.241e+02  7.174e+01  1.624e+03
 3.0391e+05  6.746e+07  3.003e+08  7.398e+07  9.632e+08  5.794e+02  1.971e+02  9.128e+01  4.543e+02  6.341e+02  1.800e+02  2.757e+01  4.794e+02  1.909e+03  5.579e+02  8.550e+01  1.476e+03
 3.0391e+05  6.705e+07  2.477e+08  7.040e+07  1.032e+09  3.873e+02  2.023e+02  9.290e+01  4.478e+02  5.279e+02  1.504e+02  1.060e+01  4.525e+02  1.624e+03  4.654e+02  3.246e+01  1.393e+03
 4.0398e+05  4.269e+08  3.576e+08  8.997e+07  1.007e+09  7.189e+01  1.599e+02  8.510e+01  3.223e+02  2.016e+02  1.950e+02  4.410e+01  4.435e+02  6.280e+02  6.054e+02  1.363e+02  1.366e+03
 4.0404e+05  5.590e+07  8.515e+07  3.415e+07  3.357e+08  2.303e+02  2.336e+02  1.179e+02  4.595e+02  5.300e+00  5.717e+01  5.954e+00  2.714e+02  1.638e+01  1.763e+02  1.834e+01  8.384e+02
 4.0404e+05  1.338e+08  1.808e+08  1.310e+08  2.126e+08  6.094e+02  5.742e+02  3.902e+02  6.263e+02  2.180e+01  2.037e+01  1.230e+01  1.230e+02  6.665e+01  6.228e+01  3.768e+01  3.763e+02
 4.0404e+05  1.054e+08  3.244e+08  9.370e+07  1.452e+09  3.723e+02  1.883e+02  8.936e+01  3.949e+02  7.959e+02  2.934e+02  1.000e+02  6.801e+02  2.426e+03  9.072e+02  3.105e+02  2.087e+03
 4.0404e+05  2.376e+07  8.686e+07  3.650e+07  3.496e+08  4.748e+02  2.465e+02  1.190e+02  4.970e+02  1.109e+01  4.599e+01  5.904e+00  2.234e+02  3.393e+01  1.419e+02  1.822e+01  6.906e+02
 4.0409e+05  1.114e+08  4.519e+08  9.810e+07  1.100e+09  6.211e+02  1.719e+02  8.620e+01  4.091e+02  2.685e+02  1.508e+02  2.655e+01  3.627e+02  8.225e+02  4.675e+02  8.229e+01  1.118e+03
 4.0409e+05  9.577e+07  7.971e+08  1.375e+08  2.314e+09  5.222e+02  1.600e+02  8.338e+01  3.537e+02  1.063e+03  2.094e+02  6.112e+01  5.403e+02  3.230e+03  6.498e+02  1.904e+02  1.662e+03
 4.0409e+05  6.206e+07  7.709e+07  3.930e+07  1.819e+08  1.899e+02  2.109e+02  1.366e+02  3.460e+02  3.766e+02  2.970e+02  1.501e+02  4.522e+02  1.167e+03  9.182e+02  4.661e+02  1.394e+03
 4.0409e+05  2.598e+07  5.242e+07  2.648e+07  1.481e+08  5.896e+02  2.435e+02  1.442e+02  4.548e+02  5.896e+00  7.107e+01  5.967e+00  3.082e+02  1.802e+01  2.189e+02  1.834e+01  9.489e+02
 4.0409e+05  1.108e+09  3.555e+08  7.357e+07  8.439e+08  1.076e+02  1.594e+02  8.750e+01  4.335e+02  1.667e+00  8.526e+01  7.782e+00  2.509e+02  5.136e+00  2.636e+02  2.399e+01  7.753e+02
 4.0410e+05  4.011e+07  8.314e+07  4.020e+07  3.081e+08  4.341e+02  2.294e+02  1.161e+02  4.162e+02  8.264e+02  3.733e+02  1.342e+02  7.224e+02  2.563e+03  1.154e+03  4.160e+02  2.210e+03
 4.0410e+05  2.211e+07  7.236e+07  2.964e+07  3.629e+08  3.246e+02  2.144e+02  1.026e+02  4.134e+02  8.700e+02  3.393e+02  1.134e+02  7.229e+02  2.752e+03  1.049e+03  3.514e+02  2.215e+03
 4.0410e+05  4.551e+07  7.472e+07  2.617e+07  2.651e+08  1.912e+02  1.909e+02  1.039e+02  3.425e+02  3.394e+02  1.912e+02  1.699e+01  4.552e+02  1.054e+03  5.929e+02  5.257e+01  1.405e+03
 4.0410e+05  8.766e+07  2.102e+08  8.355e+07  6.616e+08  2.421e+02  1.932e+02  1.079e+02  3.331e+02  6.042e+02  3.502e+02  1.902e+02  5.576e+02  1.889e+03  1.084e+03  5.895e+02  1.718e+03
 4.0410e+05  2.474e+07  7.431e+07  2.361e+07  3.173e+08  6.173e+02  2.312e+02  1.061e+02  4.811e+02  1.778e+01  8.362e+01  7.286e+00  3.378e+02  5.430e+01  2.581e+02  2.246e+01  1.042e+03
 4.0411e+05  8.491e+08  5.089e+08  1.248e+08  1.502e+09  8.842e+01  1.558e+02  7.874e+01  3.286e+02  2.360e+02  2.937e+02  1.511e+02  5.530e+02  7.364e+02  9.079e+02  4.691e+02  1.704e+03
 4.0411e+05  3.238e+07  6.199e+07  2.533e+07  2.523e+08  6.253e+02  2.477e+02  1.193e+02  4.992e+02  6.444e+00  5.431e+01  6.170e+00  2.566e+02  1.969e+01  1.673e+02  1.901e+01  7.905e+02
 4.0411e+05  6.636e+07  1.042e+08  4.121e+07  4.197e+08  2.299e+02  2.289e+02  1.177e+02  4.381e+02  5.300e+00  5.511e+01  5.725e+00  2.646e+02  1.638e+01  1.700e+02  1.767e+01  8.169e+02
